"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"20","map00230","R01135"
"20","map00230","R01137"
"20","map00230","R01138"
"20","map00230","R01227"
"20","map00230","R01228"
"20","map00230","R01229"
"20","map00230","R01230"
"20","map00230","R01231"
"20","map00230","R01232"
"20","map00230","R01234"
"20","map00230","R01244"
"20","map00230","R01245"
"20","map00230","R01423"
"20","map00230","R01547"
"20","map00230","R01560"
"20","map00230","R01561"
"20","map00230","R01562"
"20","map00230","R01618"
"20","map00230","R01676"
"20","map00230","R01677"
"20","map00230","R01690"
"20","map00230","R01768"
"20","map00230","R01769"
"20","map00230","R01770"
"20","map00230","R01855"
"20","map00230","R01856"
"20","map00230","R01857"
"20","map00230","R01858"
"20","map00230","R01863"
"20","map00230","R01885"
"20","map00230","R01967"
"20","map00230","R01968"
"20","map00230","R01969"
"20","map00230","R02014"
"20","map00230","R02017"
"20","map00230","R02019"
"20","map00230","R02020"
"20","map00230","R02088"
"20","map00230","R02089"
"20","map00230","R02090"
"20","map00230","R02103"
"20","map00230","R02106"
"20","map00230","R02107"
"20","map00230","R02141"
"20","map00230","R02142"
"20","map00230","R02143"
"20","map00230","R02147"
"20","map00230","R02148"
"20","map00230","R02297"
"20","map00230","R02422"
"20","map00230","R02423"
"20","map00230","R02425"
"20","map00230","R02556"
"20","map00230","R02557"
"20","map00230","R02646"
"20","map00230","R02719"
"20","map00230","R02720"
"20","map00230","R02729"
"20","map00230","R02748"
"20","map00230","R02805"
"20","map00230","R02935"
"20","map00230","R02936"
"20","map00230","R02937"
"20","map00230","R03409"
"20","map00230","R03530"
"20","map00230","R03531"
"20","map00230","R03537"
"20","map00230","R03925"
"20","map00230","R04026"
"20","map00230","R04144"
"20","map00230","R04208"
"20","map00230","R04209"
"20","map00230","R04325"
"20","map00230","R04378"
"20","map00230","R04463"
"20","map00230","R04559"
"20","map00230","R04560"
"20","map00230","R04591"
"20","map00230","R04731"
"20","map00230","R04732"
"20","map00230","R04857"
"20","map00230","R05135"
"20","map00230","R05554"
"20","map00230","R06601"
"20","map00230","R06604"
"20","map00230","R06605"
"20","map00230","R06975"
"20","map00230","R07404"
"20","map00230","R07405"
"20","map00230","R09514"
"20","map00230","R10235"
"21","map00231","R05668"
"21","map00231","R05669"
"21","map00231","R05670"
"21","map00231","R05671"
"21","map00231","R05672"
"21","map00231","R05673"
"21","map00231","R05674"
"21","map00231","R05675"
"21","map00231","R05676"
"21","map00231","R05677"
"22","map00232","R07917"
"22","map00232","R07918"
"22","map00232","R07919"
"22","map00232","R07920"
"22","map00232","R07921"
"22","map00232","R07922"
"22","map00232","R07939"
"22","map00232","R07940"
"22","map00232","R07941"
"22","map00232","R07942"
"22","map00232","R07943"
"22","map00232","R07945"
"22","map00232","R07954"
"22","map00232","R07955"
"22","map00232","R07956"
"22","map00232","R07957"
"22","map00232","R07958"
"22","map00232","R07959"
"22","map00232","R07960"
"22","map00232","R07961"
"22","map00232","R07962"
"22","map00232","R07963"
"22","map00232","R07964"
"22","map00232","R07965"
"22","map00232","R07966"
"22","map00232","R07967"
"22","map00232","R07968"
"22","map00232","R07969"
"22","map00232","R07970"
"22","map00232","R07971"
"22","map00232","R07972"
"22","map00232","R07973"
"22","map00232","R07974"
"22","map00232","R07975"
"22","map00232","R07976"
"22","map00232","R07977"
"22","map00232","R07978"
"22","map00232","R07979"
"22","map00232","R07980"
"22","map00232","R07981"
"22","map00232","R07982"
"23","map00240","R00139"
"23","map00240","R00140"
"23","map00240","R00155"
"23","map00240","R00156"
"23","map00240","R00158"
"23","map00240","R00159"
"23","map00240","R00287"
"23","map00240","R00377"
"23","map00240","R00378"
"23","map00240","R00438"
"23","map00240","R00440"
"23","map00240","R00442"
"23","map00240","R00443"
"23","map00240","R00510"
"23","map00240","R00511"
"23","map00240","R00512"
"23","map00240","R00513"
"23","map00240","R00514"
"23","map00240","R00515"
"23","map00240","R00516"
"23","map00240","R00517"
"23","map00240","R00568"
"23","map00240","R00569"
"23","map00240","R00570"
"23","map00240","R00571"
"23","map00240","R00573"
"23","map00240","R00575"
"23","map00240","R00662"
"23","map00240","R00905"
"23","map00240","R00962"
"23","map00240","R00963"
"23","map00240","R00964"
"23","map00240","R00965"
"23","map00240","R00966"
"23","map00240","R00967"
"23","map00240","R00968"
"23","map00240","R00969"
"23","map00240","R00970"
"23","map00240","R00974"
